cluster,passes_per_match,net_density,net_avg_degree,assortativity,transitivity,n_communities,modularity,mean_degree_centrality,mean_betweenness,mean_closeness,mean_eigenvector,max_betweenness,mean_pass_length,short_pass_frac,long_pass_frac,vertical_pass_frac,diag_pass_frac,rate_pass,rate_carry,rate_shot,rate_pressure,rate_dribble,rate_ball_recovery,rate_interception,rate_foul_committed,rate_clearance,rate_block,rate_miscontrol,rate_dispossessed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7368172530071081,-0.19716054537351596,0.6709240063270581,0.0,0.0,-0.6888838869861115,-0.720673270730444,-0.4804133294275482,0.07290872197429654,-0.44180973480475466,-0.6235334036280118,0.14101873591999742,0.4748982436864346,0.032819051202426335,-0.2678590637810306,-0.5768940154753398,-0.5408948996459
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040213468267771724,0.07112014786855228,0.0845633727734564,0.0,0.0,-0.1929773607781233,-0.2158221928088093,-0.12487828443393326,0.3363901322083691,0.09983616251143039,0.7047543382058118,0.005196349026203292,-0.25627810846002896,0.5075392821596348,0.6556737089900503,0.7344920999493209,0.5407408344069682
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8425985899242249,0.15245604967666343,-0.913823057355111,0.0,0.0,1.066682467355541,1.132766967873827,0.732149137724666,-0.49508005116705606,0.41364468025899104,-0.09824328613602262,-0.17685896502474566,-0.2644387264415193,-0.6536070858630927,-0.4690931636660003,-0.19062762313619427,0.00018635436086376371
