,poss_press_min_opp_dist,poss_press_mean_opp_dist,poss_support_mean_dist,poss_support_n_close10,poss_lane_min_opp_dist,poss_lane_blocked_n,poss_pass_length,def_compact_area,def_width,def_depth,def_mean_dist_to_ball,def_nearest_to_ball,def_n_players,passes_per_match,transitivity,mean_betweenness,mean_closeness,mean_pass_length,short_pass_frac,long_pass_frac
poss_press_min_opp_dist,1.0,0.635894977826054,0.7561958811273087,-0.877878754184795,0.9076886653944137,-0.8084917726174475,-0.14915322079615573,0.33547997477794195,0.4550876790558289,0.18084020129985834,0.33361909513122395,0.1411787808742205,0.014620774722107195,,,,,-0.23842446591615024,-0.382701042414645,-0.4255597926256098
poss_press_mean_opp_dist,0.635894977826054,1.0,0.9478524811608283,-0.5035823866314972,0.5474667399464251,-0.6473150014279885,-0.12900281235224392,0.8801598105244698,0.8509064886513108,0.7636474371200697,0.8160789647400477,0.3540435884436717,0.6879233448900965,,,,,-0.15548785090706568,-0.13196361241074087,-0.3030862106920883
poss_support_mean_dist,0.7561958811273087,0.9478524811608283,1.0,-0.6817685112676162,0.6603225410227295,-0.722158377010247,-0.11990347456146096,0.7770614261767839,0.83137507986385,0.6121006660019007,0.745094837570715,0.3450633747777239,0.5139926291913974,,,,,-0.1775645591220847,-0.22170584510769142,-0.33488898306033676
poss_support_n_close10,-0.877878754184795,-0.5035823866314972,-0.6817685112676162,1.0,-0.7714130643435544,0.6853001284170563,0.15145532346116897,-0.2217072165679001,-0.37191410884856485,-0.06029249808641588,-0.22739634652929178,-0.0541415700937141,0.18900828616567758,,,,,0.26240035501958375,0.4170982035946337,0.4170838379428292
poss_lane_min_opp_dist,0.9076886653944137,0.5474667399464251,0.6603225410227295,-0.7714130643435544,1.0,-0.7893845293772564,-0.1455279451250113,0.25899544802260943,0.37426314561922164,0.11763255534913745,0.27869024741512405,0.15870503796297067,-0.01234941183306505,,,,,-0.22499032316978584,-0.39281268327608126,-0.3950702531757865
poss_lane_blocked_n,-0.8084917726174475,-0.6473150014279885,-0.722158377010247,0.6853001284170563,-0.7893845293772564,1.0,0.4087561411930433,-0.4532283869827573,-0.5435043047302491,-0.3138390744689827,-0.4426794611461192,-0.2566902498975585,-0.23828975248224293,,,,,0.4504225575997103,0.12034364356384705,0.6000122075121684
poss_pass_length,-0.14915322079615573,-0.12900281235224392,-0.11990347456146096,0.15145532346116897,-0.1455279451250113,0.4087561411930433,1.0,-0.22540445702886136,-0.20682080004418565,-0.1791493149079395,0.007142808771872593,0.29611477028364336,-0.13483449274810116,,,,,0.9698611436207545,-0.5457026046078949,0.9043838331132522
def_compact_area,0.33547997477794195,0.8801598105244698,0.7770614261767839,-0.2217072165679001,0.25899544802260943,-0.4532283869827573,-0.22540445702886136,1.0,0.8864058170348743,0.9255820078144468,0.8261573240867867,0.26836538987279557,0.8347232955861484,,,,,-0.21754561502272607,0.09104903375255634,-0.2960873135371809
def_width,0.4550876790558289,0.8509064886513108,0.83137507986385,-0.37191410884856485,0.37426314561922164,-0.5435043047302491,-0.20682080004418565,0.8864058170348743,1.0,0.6799282358122958,0.8215875992961768,0.34836429128973406,0.6734038582809835,,,,,-0.21461060043066194,0.058687786013719115,-0.3064139280142069
def_depth,0.18084020129985834,0.7636474371200697,0.6121006660019007,-0.06029249808641588,0.11763255534913745,-0.3138390744689827,-0.1791493149079395,0.9255820078144468,0.6799282358122958,1.0,0.703682123670454,0.18005116470562854,0.8382604745052131,,,,,-0.16267356965995064,0.08739576215651158,-0.22754491666359516
def_mean_dist_to_ball,0.33361909513122395,0.8160789647400477,0.745094837570715,-0.22739634652929178,0.27869024741512405,-0.4426794611461192,0.007142808771872593,0.8261573240867867,0.8215875992961768,0.703682123670454,1.0,0.7292019979852676,0.7271230698001332,,,,,0.03518783520541805,0.0316259991989172,-0.05993709690275166
def_nearest_to_ball,0.1411787808742205,0.3540435884436717,0.3450633747777239,-0.0541415700937141,0.15870503796297067,-0.2566902498975585,0.29611477028364336,0.26836538987279557,0.34836429128973406,0.18005116470562854,0.7292019979852676,1.0,0.32019381733707686,,,,,0.3394654278891093,-0.06408872052647788,0.2671982952540706
def_n_players,0.014620774722107195,0.6879233448900965,0.5139926291913974,0.18900828616567758,-0.01234941183306505,-0.23828975248224293,-0.13483449274810116,0.8347232955861484,0.6734038582809835,0.8382604745052131,0.7271230698001332,0.32019381733707686,1.0,,,,,-0.08290123236633692,0.19174255399940793,-0.1391787182512988
passes_per_match,,,,,,,,,,,,,,,,,,,,
transitivity,,,,,,,,,,,,,,,,,,,,
mean_betweenness,,,,,,,,,,,,,,,,,,,,
mean_closeness,,,,,,,,,,,,,,,,,,,,
mean_pass_length,-0.23842446591615024,-0.15548785090706568,-0.1775645591220847,0.26240035501958375,-0.22499032316978584,0.4504225575997103,0.9698611436207545,-0.21754561502272607,-0.21461060043066194,-0.16267356965995064,0.03518783520541805,0.3394654278891093,-0.08290123236633692,,,,,1.0,-0.46730476018102113,0.942422688595314
short_pass_frac,-0.382701042414645,-0.13196361241074087,-0.22170584510769142,0.4170982035946337,-0.39281268327608126,0.12034364356384705,-0.5457026046078949,0.09104903375255634,0.058687786013719115,0.08739576215651158,0.0316259991989172,-0.06408872052647788,0.19174255399940793,,,,,-0.46730476018102113,1.0,-0.28970090405217647
long_pass_frac,-0.4255597926256098,-0.3030862106920883,-0.33488898306033676,0.4170838379428292,-0.3950702531757865,0.6000122075121684,0.9043838331132522,-0.2960873135371809,-0.3064139280142069,-0.22754491666359516,-0.05993709690275166,0.2671982952540706,-0.1391787182512988,,,,,0.942422688595314,-0.28970090405217647,1.0
