cluster,poss_press_min_opp_dist,poss_press_mean_opp_dist,poss_support_mean_dist,poss_support_n_close10,poss_lane_min_opp_dist,poss_lane_blocked_n,poss_pass_length,def_compact_area,def_width,def_depth,def_mean_dist_to_ball,def_nearest_to_ball,def_n_players
0,5.93533425387822,21.650537600326913,23.8390200968491,0.9562921868849572,3.6722330269248205,0.4874370610179971,19.84580458594301,664.1033245247519,39.21883097034742,27.378210028398968,21.65956230694562,6.255559191603302,8.79687409738798
1,5.273925869503011,18.628421109704334,20.975576409430005,1.0821868051557864,3.2996177115551624,0.6137982070255649,20.49693461329632,467.3543457356636,34.076052173971455,23.09711335759781,18.798447798007626,5.5730210825704445,7.265039353925435
2,6.3763050033863555,20.592406916743016,23.39274360734526,0.8045890885015272,3.9364570516756037,0.4648898258334095,20.561777226773295,543.383458237988,37.1916192064697,24.03479508435474,20.39525922308784,6.223882173199287,7.485749868764656
