team_id,competition_id,season_id,poss_n_frames,poss_lane_blocked_n,poss_lane_min_opp_dist,poss_n_players_visible,poss_pass_length,poss_press_mean_opp_dist,poss_press_min_opp_dist,poss_support_mean_dist,poss_support_n_close10,def_n_frames,def_compact_area,def_depth,def_mean_dist_to_ball,def_n_players,def_n_players_visible,def_nearest_to_ball,def_width,team_name,cluster
782,55,43,8654.0,0.3852425601304525,4.545080168236902,17.298936907788306,19.73334008762576,23.48752492200822,6.9786456693842585,25.71670769325973,0.6965565056621216,7701.0,703.0354002964384,27.588607777551516,22.30907571670842,8.63657617872451,16.831320607713284,6.500801101380948,40.66624885082671,Belgium,0
785,55,43,6696.0,0.4659279778393352,3.645824581756079,14.043010752688172,20.053940067505565,19.635966698082623,5.95095325833862,23.192355095241155,0.8322879330943848,6842.0,553.4373863499138,23.9719804603005,20.771920548329376,7.202853780523683,14.429406606255482,6.528057613393468,37.593200279505126,Croatia,2
912,55,43,6701.0,0.5267045454545455,3.654357820507601,14.154454559021042,21.16140114271883,19.245908038677246,5.997704255281551,21.7113172121328,1.0356663184599313,7314.0,454.1054521059514,22.163466455586107,19.32365102840189,7.033726350425007,14.065217391304348,6.186755257492203,34.99441982619843,Czech Republic,1
776,55,43,9645.0,0.5160807778608826,3.7078509355733993,15.687506480041472,20.52074572189267,21.06211179837022,6.189986091063295,23.80723304990398,0.8053913945049248,8986.0,586.3718647550627,25.286857125075787,21.105198361024783,7.559737223026389,15.161028266191854,6.218103059804537,37.70851338499239,Denmark,2
768,55,43,12630.0,0.378476084538376,4.483266047547333,13.39667458432304,21.153303896990565,20.226871803694166,6.876087807991617,24.12792501459824,0.6813935075217735,12259.0,442.28390939139103,20.62388347611712,19.62684035817387,6.715440516044746,13.657149849090464,6.384116320628975,36.18803565029644,England,2
1835,55,43,3858.0,0.5344827586206896,3.3977975016855764,18.02877138413686,21.32884300178701,22.482155179917736,5.697513610874163,24.60893530129108,0.9502332814930016,5859.0,780.8118887529604,31.837795192798165,23.582814504988203,9.413381123058542,18.27905785970302,6.864379353222582,41.05281991561898,Finland,0
771,55,43,7141.0,0.3933300637567435,4.250491603510658,14.885030107828037,19.371703112669373,20.675125550668582,6.835694393827883,23.625721654780467,0.7209074359333427,6402.0,542.1234976800456,23.873247573685276,20.73903187817099,7.218403374472738,14.515151515151516,6.56388931141033,37.95634908271646,France,2
770,55,43,7558.0,0.4058669001751313,3.985833855193986,14.909632177824822,20.352835991738075,21.110405279811424,6.868937086654184,24.01410469829549,0.6293993119872983,5017.0,512.7086224035016,23.07215465068346,19.869146388576898,7.091942560829677,14.23081522822404,6.034425512785233,37.151891947556535,Germany,2
916,55,43,2974.0,0.4916434540389972,3.852639386874402,14.045729657027572,20.905231817972712,19.61250874423521,5.629238992585156,22.21409309785868,1.0729657027572292,5988.0,502.1133118608173,23.61573282652238,21.796658523517287,7.936539746158985,15.240146960587843,7.402034751162883,35.76186456548305,Hungary,2
914,55,43,13674.0,0.3983466804443296,4.135263689723473,13.973307005996782,19.202536640793525,19.78741366006482,6.597103562162878,22.8033400132986,0.7966944566330262,11886.0,451.2413629041854,21.12110133507126,19.680779238898747,6.678234501347709,13.58253407370015,6.315477158222621,36.880524544215135,Italy,2
941,55,43,7072.0,0.4509509509509509,3.723199724646528,15.535774886877828,19.87726053376065,20.57881991941577,6.438628133941981,22.72535431355772,0.7989253393665159,5661.0,560.1034334907486,25.3998983299974,20.16146241934504,7.560854972619678,15.130718954248366,5.973636746350952,36.83986645794875,Netherlands,2
2358,55,43,3951.0,0.4865403788634098,3.630153193597835,14.951657808149836,20.571019578824117,19.832644759363387,5.8455008241995365,22.454038532222757,0.9508985067071628,5285.0,540.3147771175041,24.787742151909764,20.152685462324406,7.678713339640492,15.18240302743614,6.309007505909508,36.82963124338429,North Macedonia,2
789,55,43,4146.0,0.6190476190476191,3.568474594401565,18.104196816208397,20.609200649003743,22.617983286866224,5.891556817759514,24.470100554022117,0.9368065605402798,4469.0,693.0452579918609,28.71213574551989,22.575479385778934,8.719176549563661,17.1850525844708,6.276582551536295,39.20785344102375,Poland,0
780,55,43,6540.0,0.3719576719576719,4.548788664625456,14.804587155963302,20.122926241739226,21.700309639985587,7.254212239241821,24.730117801786207,0.6605504587155964,5975.0,549.890889436857,23.95757876525233,21.026052228812222,7.44749623178697,14.860585774058578,6.591020727156224,38.73126469160554,Portugal,2
796,55,43,3982.0,0.5872093023255814,3.63435290739898,18.27800100452034,22.304425751395005,23.49629418445307,5.995148430936915,24.80577825366335,0.9409844299347062,4936.0,832.8050519681506,32.31251289070257,23.8761680023702,9.27208265802269,18.284035656401944,6.558977865905522,41.58999234808906,Russia,0
942,55,43,4157.0,0.5257731958762887,3.8598555403058254,13.759923021409673,22.78944260369365,19.207906072769752,5.946078399163665,22.28592041426005,0.8474861679095501,5221.0,473.4257521074066,22.820798603285883,19.72801990219097,6.953323088743757,14.001915341888528,6.313670110445528,35.06053412007924,Scotland,2
908,55,43,4457.0,0.4484265734265734,4.571362028843345,17.764864258469824,21.129633680633475,23.414231627330658,6.760695772671483,26.26544585925753,0.8584249495176127,5116.0,737.6294954391526,27.743957399424065,22.88561451927742,9.076261243644897,17.569194683346364,6.585417972226899,42.30063489754737,Slovakia,0
772,55,43,15255.0,0.4066507281025864,4.185478171721848,16.421894460832515,19.481597718216644,22.437386754904477,7.147346370836086,25.82509943011789,0.618026876433956,7182.0,653.8820750127416,25.916216398934093,20.38261184185232,7.979390057095112,16.132553606237817,5.011589541097878,39.93710047911232,Spain,2
790,55,43,4871.0,0.5412772585669782,3.652587047766074,16.35639499076165,20.69981733913872,20.35754979361405,5.9253374441775,22.205404482449136,1.03161568466434,8212.0,593.8895707782158,25.409724218307822,22.591658878574744,8.577452772699573,16.737822698490014,7.353823754571536,36.68855827654311,Sweden,0
773,55,43,8069.0,0.4913162705667276,3.4816383442359293,14.897880778287272,19.898944875796733,19.96879070516677,5.82515955020189,22.72249048640058,0.8241417771718924,9467.0,579.4460503668569,25.10825977753359,20.82553832016392,7.959302325581396,15.856554346677934,6.477486950653658,37.53987531779783,Switzerland,2
