team_id,competition_id,season_id,poss_n_frames,poss_lane_blocked_n,poss_lane_min_opp_dist,poss_n_players_visible,poss_pass_length,poss_press_mean_opp_dist,poss_press_min_opp_dist,poss_support_mean_dist,poss_support_n_close10,def_n_frames,def_compact_area,def_depth,def_mean_dist_to_ball,def_n_players,def_n_players_visible,def_nearest_to_ball,def_width,team_name
129,7,108,1502.0,0.4206730769230769,4.039021751434147,17.097203728362185,20.009963072959653,22.014521230219955,6.183430302764487,24.105304360564546,0.8035952063914781,1707.0,746.1604269527253,29.25068473036051,21.0611982581323,8.721148213239601,16.973637961335676,5.3554703147109635,40.07188387907626,AS Monaco
146,7,108,1584.0,0.38010204081632654,4.166875683289473,16.799873737373737,20.074257549330724,22.466257317409468,6.566597557336238,24.602343611072097,0.9330808080808081,2008.0,699.3798560708077,27.267859144271046,21.974075501497595,9.147410358565738,17.786354581673308,6.8251651570043705,40.814581042770406,Bordeaux
152,7,108,1294.0,0.4,3.851408990571501,15.619010819165378,19.571686462373375,20.222688340797276,5.9220066277901555,22.247721672894297,1.0285935085007727,2007.0,551.3750167505683,24.332508524496635,20.290710639858982,8.24265072247135,16.254608868958645,6.251719260087431,37.9982085336133,Clermont Foot
168,7,108,2474.0,0.50625,3.1889863062301003,16.530315278900567,17.7474370677177,20.61517020305563,5.4267615917304255,22.650495859969208,1.0129345189975747,4059.0,631.0760213327625,26.206468584876465,21.412450307732087,8.738359201773836,17.01847745750185,6.300674848961707,40.6291152257448,Lens
143,7,108,2743.0,0.43561643835616437,3.8634799846163346,16.240977032446228,18.922217553034617,21.17930409591088,6.0121110613964035,23.269827599170966,0.950419248997448,3773.0,659.7780752587827,27.34386402441052,21.70309496472543,8.623111582295255,16.619666048237477,6.306850935136712,36.860583912255294,Lille
165,7,108,2288.0,0.45471349353049906,3.736543859660662,16.831293706293707,19.66942860722532,20.586723277460578,5.62070683468174,22.398207613442345,1.1822552447552448,4537.0,619.8067062586296,27.539726537010154,22.29561240194314,9.38858276394093,17.800749393872604,7.024431276611411,36.65118998293175,Lorient
137,7,108,1557.0,0.48693586698337293,3.399201535216899,16.48747591522158,20.11754685011713,21.74065661361803,5.676028438737145,23.772154625574707,0.9942196531791907,1789.0,688.8801425188757,28.0439949753167,21.231896822801865,8.756288429290107,16.89323644494131,5.796139605664029,39.138894092558246,Lyon
141,7,108,923.0,0.484304932735426,3.2864791556534287,16.365113759479957,21.373139663717367,20.65639671151703,5.039476011726985,21.900999410057963,1.249187432286024,2149.0,587.1545593705246,25.508124335340224,21.461200588848047,8.667752442996743,16.898092135877153,6.4244193445322235,38.061675925723776,Metz
139,7,108,1045.0,0.5325670498084292,3.3179897245383048,16.517703349282296,18.542525513617864,21.047450364871835,5.454407140960823,22.703241783185376,0.9971291866028709,2134.0,620.3077093771301,26.16349446963241,21.763937396812583,8.834582942830366,17.074507966260544,6.352268425885325,38.55877464088641,Montpellier
144,7,108,2503.0,0.5102040816326531,3.6194036345753933,16.876947662804636,20.87701095662606,20.81534134163232,5.631247864567788,22.869778719812516,1.1797842588893328,4469.0,698.5486752851302,28.42861230258223,21.110954304793694,9.12307003803983,17.622063101364958,5.667619842553974,39.09987176377759,Nantes
136,7,108,2629.0,0.43263473053892215,3.9701370062901415,17.755800684670977,19.177443948593982,22.686041819979398,5.873901156917761,24.57171061781725,1.0186382655001902,4238.0,691.7754072175643,27.99374351601345,22.512272907503117,9.559697970740915,18.452571967909392,6.5186167383629385,38.00662263400385,OGC Nice
147,7,108,3507.0,0.4067796610169492,3.8442198410335253,17.489592244083262,18.84237110173274,22.683040032530688,6.408459837118888,25.52557210726826,0.8149415454804676,3268.0,703.5499796328811,25.884152252704236,22.04684595845611,9.149938800489597,17.878824969400245,6.053118756151967,42.47101324310518,Olympique de Marseille
131,7,108,52260.0,0.4396969898332115,3.70696481475847,17.31942212016839,17.488651373013944,21.44149267325017,6.18413081618983,24.382449404363523,0.8241293532338309,34092.0,719.8703688089566,28.236365059619235,21.25066838141782,8.366684266103485,16.73888302240995,5.699165987298308,40.002239976149774,Paris Saint-Germain
134,7,108,2312.0,0.5568760611205433,3.3834825070551298,16.56704152249135,20.715427954655215,20.907752979472782,5.809390762144594,22.54761464797091,1.144031141868512,3819.0,563.759562992962,25.159778266658385,21.258298729467356,9.147682639434407,17.474993453783714,6.452738365026646,35.69560116818695,Rennes
135,7,108,2377.0,0.5330882352941176,3.2091540548231245,17.18216238956668,19.51778706778652,21.06935604288974,5.2162910562991,22.498933964263575,1.1842658813630627,4049.0,620.8791253827718,26.794447164149584,20.82783196641384,8.998765127191898,17.74561620153124,6.0022014181000065,37.988183232208414,Saint-Étienne
156,7,108,2645.0,0.6666666666666666,2.5965746469522824,15.953875236294897,19.716835556312535,19.45681358875156,4.510852311856732,21.348469478873177,1.1527410207939508,4517.0,618.202076103852,26.514280878713677,20.425716315747675,8.485720611025016,16.456940447199468,5.644490477511915,38.20514476899979,Stade de Reims
138,7,108,1478.0,0.4898989898989899,3.6261510019673326,16.336941813261163,20.421721840512404,21.548488100967973,6.0988157766837165,23.516828053429826,0.8971583220568335,1823.0,657.1126220022552,28.375131058187698,20.329898204624513,8.42622051563357,16.568842567196928,5.345158529351349,39.31058551451939,Strasbourg
133,7,108,1231.0,0.5269461077844312,3.1483112596597516,16.58813972380179,19.47411655737821,20.733624511092636,5.028558650421447,22.994768811484594,1.0341186027619822,1914.0,629.3794091173153,25.73478895539157,22.251070999957907,9.215256008359457,17.643155694879834,6.2148487174144895,41.31246503748821,Troyes
158,7,235,2362.0,0.5313653136531366,3.4538188782967802,17.167654530059274,19.452420399176702,21.05258844764214,5.309775097792864,22.182202286422648,1.2417442845046571,4297.0,625.02478719848,28.511270133021508,20.89204762188209,9.065394461252037,17.782173609494997,6.182030700078349,35.330804331615354,AC Ajaccio
