cluster,n_players,n_passes_completed,pass_attempts,completion_rate,density_dir,reciprocity,mean_out_deg,mean_in_deg,global_clustering,assortativity,n_communities,modularity,mean_deg_cent,max_deg_cent,mean_betw,max_betw,mean_close,max_close,mean_eigen,max_eigen,algebraic_conn,spectral_gap,mean_pass_len,forward_ratio,mean_progression,mean_start_x,mean_end_x,side_bias,lateral_ratio,pct_pass_by_DEF,pct_pass_by_GK,pct_pass_by_MID,pct_pass_by_FWD
0,0.4750270069850483,-0.17915098936029214,-0.17915098936029214,0.0,-0.9178846231009105,-0.2835811696905313,-0.333769824330908,-0.333769824330908,-0.5880768076478121,-0.2023720121038577,0.7896937610000231,-0.1754497378405289,-0.9873932445768128,-1.3128636798974536,-0.3042864742044694,-0.3844881474801569,-0.9410696872624367,-1.3144730412475685,-0.5055229953199565,-0.6511248417827671,0.24826625952183212,-0.23377193280331288,0.38927283621744346,0.4168263843815756,0.39948792327489524,-0.5379395849180005,-0.3670118718395078,0.32133546489147485,-0.5542162087199215,0.0,0.0,0.0,0.0
1,-0.6762699754614727,-0.8911787152851618,-0.8911787152851618,0.0,0.31497557603790877,-0.6674617917964767,-0.9261077851179393,-0.9261077851179393,0.4110530005595723,-0.24197333445245153,0.26901655594506285,-0.27486849235013744,0.7177011221516991,0.6194681402661919,-0.47188699996209843,0.15966316762914104,0.6840354798092125,0.620130592930615,1.1194407062976506,-0.2332340124705252,0.38745968232138245,-0.6257043216027615,0.9198308991994927,0.8896267149506695,0.9961908790131636,-0.01785898546907513,0.5712487011086951,0.06015240999812916,-0.6347471772897372,0.0,0.0,0.0,0.0
2,-0.043184273362277086,-0.10703759292062244,-0.10703759292062244,0.0,-0.1817891987654521,-0.07172912575427137,-0.07064929779805663,-0.07064929779805663,-0.3307419713899302,-0.4785025711339974,-0.8670064369021232,0.012432783005613717,-0.17443163627627414,0.6194681402661919,0.5277815352050281,0.1481016320693666,-0.1726701155596695,0.620130592930615,-0.17046954381575957,0.5458378642302125,0.07797119597567868,0.43761051316668065,-0.4687356030530291,-0.6698208791654524,-0.6140103622399592,0.41404604663033334,0.10053963989764031,-0.25604794236692535,0.6403782511541369,0.0,0.0,0.0,0.0
3,-0.7698713561481816,0.8048743786888886,0.8048743786888886,0.0,1.6788834380015043,1.0340065932859839,1.3673366733247359,1.3673366733247359,1.6495825323484008,1.4251713588264292,0.060745673923078725,-0.4293561188734,1.479083401654693,-0.02234449608807476,0.7409610664581376,0.5571379005555388,1.5213498182760437,-0.01677460087104632,0.5019161272928003,0.20241271770329142,0.2068677108589934,0.2902292983815895,-0.8654973981921472,-0.13931302366625226,-0.4906376648612075,0.20326844877171873,-0.06294480851949562,-0.08274411845962439,0.10576564079462375,0.0,0.0,0.0,0.0
4,2.244093101963849,2.814687464624881,2.814687464624881,0.0,0.21119769347794898,1.796937955126341,2.23035433647626,2.23035433647626,-0.5664624934194167,1.4378161425831428,0.5467110653077083,2.454170605803519,-0.5611737530136041,-0.27906955062977923,-1.515970179858708,-0.9497032742739615,-0.7228594312563883,-0.28973396964318815,-1.9622002543608859,0.013884722105146241,-3.1917509257963763,0.1377364376429968,-0.4674588788920198,-0.8183581571111629,-0.7262874476034665,-0.4695253651965159,-0.9584013689204274,0.07787662537798631,0.7048682924567837,0.0,0.0,0.0,0.0
