feature,importance
mean_close,0.07199318489809733
mean_in_deg,0.06693619759451508
mean_out_deg,0.058595847447322144
mean_deg_cent,0.05654164837746409
n_passes_completed,0.05286472731757698
forward_ratio,0.050462386925489044
pass_attempts,0.049149745283837386
max_deg_cent,0.046484869517360236
max_close,0.04467688712888815
density_dir,0.044568881581655326
mean_eigen,0.04278059618601447
global_clustering,0.04258518378987807
mean_progression,0.039173798960748234
lateral_ratio,0.030939511125534426
mean_pass_len,0.029548116561969782
max_eigen,0.02939343674784657
mean_betw,0.027349593513193157
assortativity,0.02697803497881361
spectral_gap,0.025889392212854193
n_communities,0.024417782075216863
reciprocity,0.024287433197144565
modularity,0.020637952659938886
algebraic_conn,0.01834346991046651
mean_start_x,0.017543485966566363
mean_end_x,0.016476062007378108
n_players,0.016271865522152918
max_betw,0.014532010395801164
side_bias,0.010577898116276312
completion_rate,0.0
pct_pass_by_DEF,0.0
pct_pass_by_GK,0.0
pct_pass_by_MID,0.0
pct_pass_by_FWD,0.0
