seed,accuracy,macro_f1
42,0.5766331658291457,0.5223526304494958
7,0.5778894472361809,0.5370331732126082
13,0.6030150753768844,0.5555104575301045
99,0.621859296482412,0.5292891261972094
2026,0.5615577889447236,0.5222538304477068
