model,accuracy,macro_f1
Majority-class prior (train),0.38819095477386933,0.18642533936651584
Trained GCN (raw graph only),0.38819095477386933,0.18642533936651584
Style descriptors + LR,0.5791457286432161,0.45348442010433593
MLP (flat raw node feats),0.5452261306532663,0.45881947643972315
Node mean-pool + style + LR (no graph),0.5866834170854272,0.46512417924003185
Random GCN + style (untrained),0.592964824120603,0.49412145011572234
Trained GCN + style (ours),0.5766331658291457,0.5223526304494958
Node-MLP + pool + style (no message passing),0.5841708542713567,0.5304767464661576
