model,accuracy,macro_f1
Trained GCN + style (ours),0.5402010050251256,0.5025355603766495
Random GCN + style (untrained),0.5728643216080402,0.4746642783726629
Style descriptors + LR,0.5653266331658291,0.4720207829497669
MLP (flat raw node feats),0.49748743718592964,0.42094979490913875
Trained GCN (raw graph only),0.37814070351758794,0.18292312367061683
