direction,n,accuracy,macro_f1,acc_std,f1_std,train_g
same-distribution (male test),796,0.5766331658291457,0.5223526304494958,0.0,0.0,3710
cross-league -> La Liga,1734,0.6219146482122261,0.527631392421666,0.008535178777393305,0.016722453750591663,3568
cross-league -> Ligue 1,870,0.5259770114942529,0.5092271670326632,0.01264576785239086,0.009159402882270802,4432
cross-league -> Premier League,836,0.5253588516746411,0.4908935193755587,0.012645526589858846,0.02033991529636095,4466
cross-league -> Serie A,762,0.541994750656168,0.49547600161491073,0.01101111651622208,0.011781515819787496,4540
cross-gender -> female,2620,0.6141221374045801,0.5443302982023382,0.0,0.0,3710
